code,name,price,market_cap,roe,change_5d,change_20d,trend,ma20,ma60,score
sh.688615,合合信息,227.58,318.612,26.62,5.797034075589233,16.659831863850727,上升,216.39900000000003,204.45783333333333,85
unknown.920068,天工股份,19.5,127.84200293,18.38,-0.4085801838610741,3.7234042553191453,上升,19.381499999999996,18.467000000000002,85
sz.001285,瑞立科密,58.31,105.06189909,17.2,4.704614832106311,9.133445629796,上升,54.7975,53.16116666666666,85
sz.301617,博苑股份,77.77,103.931828,23.29,6.826923076923077,2.3154848046309575,震荡,75.13700000000001,82.675,85
sz.301015,百洋医药,23.6,124.04728217,26.94,0.6825938566552906,2.2973558734287,震荡,23.306500000000003,23.870999999999995,85
sh.603283,赛腾股份,43.32,117.4725911,21.71,-1.343657481211561,5.452775073028242,震荡,43.153,44.666166666666676,85
sz.301031,中熔电气,112.19,110.30799031,18.92,-0.4966740576496694,4.3822106438407085,上升,110.28049999999999,108.6043333333333,85
sh.603194,中力股份,39.31,157.6331,25.55,4.436769394261429,7.316407316407315,震荡,37.491,38.143499999999996,85
sz.300628,亿联网络,35.65,451.58956122,30.68,-2.7019650655021885,2.324913892078057,震荡,36.2145,35.357,85
sh.600563,法拉电子,104.95,236.1375,21.13,-1.7781937295273669,2.3403217942467145,震荡,104.06199999999998,111.23633333333333,85
sz.002490,山东墨龙,6.5,51.860146,40.69,-0.3067484662576622,0.30864197530863535,震荡,6.499,7.173999999999999,85
sz.001337,四川黄金,27.86,117.012,23.06,-2.55334032878629,1.790281329923268,震荡,28.531500000000005,27.861499999999992,85
sh.601717,中创智领,24.55,438.31568282,18.34,0.45008183306055416,0.0,上升,24.392500000000005,23.873499999999996,85
sz.301042,安联锐视,88.0,61.35674776,19.62,10.69182389937107,4.277758028202393,上升,82.4265,71.82033333333332,85
sz.300492,华图山鼎,74.3,146.13402609,77.57,1.0609357997823736,5.032513429459998,震荡,74.74399999999999,69.69766666666668,85
sz.002553,南方精工,27.31,96.51617241,27.86,1.4487369985141048,4.3960244648317985,震荡,26.469,27.459499999999995,85
sh.603025,大豪科技,17.96,200.55119723,25.89,1.9875070982396448,4.297328687572602,震荡,17.551499999999997,17.805500000000002,85
sh.600598,北大荒,14.95,265.7631464,17.21,-0.3333333333333381,1.9086571233810454,上升,14.904,14.801,85
sh.603173,福斯达,42.82,68.512,19.54,-0.6496519721577753,5.028207014961975,上升,42.041500000000006,41.23833333333334,85
sh.600779,水井坊,38.46,187.49372995,28.06,-0.6714876033057801,3.4148964775477366,震荡,37.92050000000001,40.03616666666666,85
sz.300456,赛微电子,55.96,409.74646979,26.99,-0.5332385353714845,0.12524601896582624,震荡,60.107000000000006,42.19650000000001,85
sz.002612,朗姿股份,20.44,90.43583465,30.4,4.8205128205128265,6.40291514836023,震荡,19.627000000000002,19.706000000000003,85
sh.603112,华翔股份,17.37,93.82762679,15.77,-3.5535813436979486,-6.411637931034471,震荡,17.705499999999997,17.5495,80
sh.603444,吉比特,423.85,305.34620659,22.86,0.07791839818663604,-5.850862968968652,下降,441.0125,444.0323333333333,80
unknown.920029,开发科技,91.68,127.33129631,32.49,-0.05450779461462679,-3.2503165892781745,震荡,93.31750000000001,93.04866666666666,80
sh.600329,达仁堂,45.62,351.31704521,30.51,-1.4261019878997487,-0.6965607313887686,震荡,46.575,46.17933333333333,80
sz.300842,帝科股份,59.27,86.10730368,24.56,-2.64454664914586,-1.7244238103133795,震荡,61.367999999999995,61.17716666666667,80
sz.002690,美亚光电,20.57,181.47574979,24.31,-1.6730401529636778,-0.7239382239382172,震荡,20.788999999999998,20.392666666666663,80
sh.603129,春风动力,278.68,425.20343125,26.25,-0.7267027643203263,-4.397941680960547,震荡,283.77400000000006,263.60933333333327,80
sz.002032,苏 泊 尔,44.08,353.23937031,37.27,-0.8992805755395652,-6.1328790459965985,下降,46.12,47.79983333333333,80
sz.301557,常友科技,130.79,57.95026448,15.5,-8.538461538461544,-8.00450165295069,震荡,141.69599999999997,119.702,80
sh.600566,济川药业,26.3,242.27961338,18.18,-0.18975332068311465,-5.768541741311356,震荡,26.7425,26.410166666666665,80
sh.603298,杭叉集团,26.57,348.01706142,21.64,-0.037622272385244585,-0.037622272385244585,震荡,26.949,26.607000000000003,80
sz.300827,上能电气,34.22,172.59030564,21.45,-4.918032786885254,-0.696459663377835,震荡,35.95450000000001,35.536333333333324,80
sh.600285,羚锐制药,20.71,117.44961715,24.8,0.9259259259259321,-5.606198723792162,下降,21.033499999999997,22.0045,80
sh.603338,浙江鼎力,56.64,286.79543867,17.21,1.8705035971223007,-7.902439024390243,震荡,57.733500000000014,55.243,80
sz.301275,汉朔科技,53.42,225.64608,30.14,0.5458309806135877,-1.3298854820834851,震荡,53.1885,53.34550000000001,80
sh.688726,拉普拉斯,36.0,145.91742804,28.07,-3.407566407298103,-9.842223891810669,下降,37.598,41.77166666666666,80
sz.002251,步步高,5.31,142.76995349,48.58,-1.1173184357541992,-2.747252747252754,震荡,5.525999999999999,5.493333333333334,80
sz.300251,光线传媒,16.38,480.52178516,23.95,1.9290603609209627,-2.0920502092050297,震荡,16.198,16.463,80
sz.301662,宏工科技,120.28,96.224,22.73,1.699501141455995,-2.999999999999999,震荡,118.17850000000001,124.58733333333332,80
sz.002668,TCL智家,10.38,112.53076623,53.22,-3.531598513011143,-1.6113744075829377,震荡,10.6905,10.624,80
sh.603239,浙江仙通,20.51,55.524672,15.49,-0.6298449612403052,-6.857402361489546,震荡,20.6935,19.806499999999996,80
sz.301004,嘉益股份,52.05,75.89214688,46.64,0.7354364234565424,-2.235161532682203,震荡,51.721000000000004,54.93550000000002,80
sz.300910,瑞丰新材,56.55,167.35139971,22.93,-0.6500351370344423,-2.17955371043073,震荡,58.135000000000005,56.94516666666667,80
sz.002984,森麒麟,21.17,219.29706133,17.36,1.2918660287081492,-5.152329749103936,震荡,21.5395,20.513666666666666,80
sz.002124,天邦食品,2.74,60.880987,49.51,-1.0830324909747222,-5.190311418685118,下降,2.803,2.8175000000000003,80
sz.301556,托普云农,98.04,83.608512,17.95,-1.4673366834170791,-1.1394574972269793,上升,97.87449999999998,97.41166666666665,80
sz.301491,汉桑科技,56.08,72.3432,27.1,0.9540954095409562,-1.1283497884344156,震荡,55.726,59.5495,80
sz.300856,科思股份,13.48,64.12262458,20.75,0.0,-9.893048128342247,下降,14.237500000000002,14.389833333333335,80
sz.300573,兴齐眼药,70.29,173.21531453,32.91,2.0618556701030952,-1.0557432432432432,震荡,68.9935,72.28516666666668,80
sh.688520,神州细胞,43.31,192.87489773,36.86,-1.4562002275312866,-7.909844779927703,下降,44.322,48.08950000000001,80
sz.301668,昊创瑞通,48.01,52.811,29.33,-1.4977431267952481,-9.534576973808182,下降,49.45450000000001,53.31083333333334,80
sz.000525,红太阳,5.46,71.15245634,27.65,-1.6216216216216193,-8.080808080808087,下降,5.630999999999999,5.987833333333333,80
sz.002605,姚记科技,23.3,97.31126543,16.18,0.0,1.3925152306353363,震荡,23.286,24.331166666666665,75
sz.002546,新联电子,6.99,58.30003181,15.12,-1.1315417256011324,3.097345132743362,震荡,6.968000000000001,7.0024999999999995,75
sh.603203,快克智能,36.61,92.8653353,15.17,-0.4622077215878241,21.26531964226564,上升,34.632999999999996,31.999166666666664,75
sz.000680,山推股份,11.97,179.56707066,16.94,3.8161318300086844,10.936051899907337,上升,11.3255,11.039999999999997,75
sz.002452,长高电新,8.23,51.0533306,10.67,0.0,4.441624365482241,上升,8.1595,8.111500000000001,75
sh.601113,华鼎股份,4.68,51.67432418,13.8,-2.702702702702701,7.834101382488476,上升,4.506000000000002,4.3365,75
sh.688697,纽威数控,15.38,70.33787384,19.83,0.8524590163934478,1.2508229098090933,震荡,15.207499999999996,15.64183333333333,75
sz.000532,华金资本,16.12,55.56698441,11.04,-1.7073170731707172,4.404145077720218,上升,15.9625,14.937833333333334,75
sz.300693,盛弘股份,38.28,119.73824104,26.39,-2.7932960893854784,0.5252100840336209,下降,39.1255,40.52883333333334,75
sz.002014,永新股份,11.92,73.00903043,19.18,-1.7312448474855797,1.5332197614991459,震荡,11.990999999999998,11.597833333333332,75
sz.002270,华明装备,25.04,224.41484792,18.74,-4.244741873804969,2.1623827009383825,震荡,25.454000000000004,25.231499999999997,75
sz.000893,亚钾国际,47.97,443.2673544,10.97,2.939914163090123,6.034482758620682,上升,46.809500000000014,44.14783333333333,75
sz.300144,宋城演艺,8.19,214.96131985,13.67,-0.2436053593179214,2.7603513174403984,上升,8.183000000000002,8.1085,75
sh.605118,力鼎光电,30.11,123.6569524,14.01,1.5171948752528635,5.279720279720272,上升,29.4195,28.41866666666666,75
sh.688617,惠泰医疗,243.27,343.0838002,30.35,-1.3903526550466065,4.609761341646957,下降,246.87050000000005,264.0585,75
sh.603596,伯特利,51.27,310.95809741,19.23,0.1562805235397644,12.557628979143812,上升,49.99849999999999,47.878833333333326,75
sh.601969,海南矿业,11.88,237.39189222,10.44,-3.7277147487844333,6.451612903225811,上升,11.3015,10.979333333333333,75
sz.301631,壹连科技,103.55,94.65979759,18.99,-2.024789478664018,0.641461755272618,震荡,104.934,99.76516666666666,75
sz.002991,甘源食品,56.91,53.04912942,21.58,-0.628601361969629,0.45895851721094094,下降,57.47150000000001,58.06566666666665,75
sh.605116,奥锐特,25.05,101.75190612,17.35,1.0080645161290323,13.297150610583452,上升,23.500500000000002,22.922333333333327,75
sz.000423,东阿阿胶,49.08,316.06382522,14.6,0.3680981595092019,1.4468788755684077,上升,48.937,48.28516666666667,75
sz.300879,大叶股份,29.85,60.41605165,16.84,2.4013722126929773,4.443666899930032,震荡,29.201999999999998,29.99583333333333,75
sh.688280,精进电动-UW,8.7,51.34928503,13.41,1.9929660023446654,8.34371108343711,上升,8.379,8.3115,75
unknown.920522,纳科诺尔,61.09,95.75901485,16.77,0.3779165297403943,4.588255435713075,震荡,59.015,59.844500000000004,75
sh.603088,宁波精达,10.33,51.89667689,22.39,-1.7126546146527093,2.9910269192422803,下降,10.334,10.83266666666667,75
sz.002006,精工科技,23.16,120.3841607,10.08,-0.6008583690987149,5.512528473804104,上升,21.9675,21.507333333333335,75
sz.002489,浙江永强,3.83,83.07332479,15.41,-3.28282828282828,0.5249343832021002,震荡,3.8965000000000005,3.8791666666666678,75
sz.002552,宝鼎科技,16.51,64.05637815,16.7,-3.1103286384976383,1.850709438618141,震荡,16.7,16.55183333333333,75
sz.002947,恒铭达,52.02,133.28009659,18.03,-1.1590347710431301,18.17355747387551,上升,49.38799999999999,46.936166666666665,75
sz.002121,科陆电子,7.7,127.88288498,37.41,-1.408450704225345,2.393617021276604,下降,7.7719999999999985,8.216333333333333,75
sz.002966,苏州银行,8.29,370.61788071,11.68,0.24183796856105896,2.345679012345673,上升,8.27,8.221499999999999,75
